S,Trip Name,Supplier,Destination,Motion Sickness,Weather Sensitivity,Children Eligibility,Action Adrenaline,"Romantic/
Honeymoon",Smoker Friendly,Price Range,Lunch,Stop/Act.,Duration,Time,Act. Type,Quality,Serivce Onboard,Stability,Mobility,Boat View,Water Act.,No. of PAX,Longtail Boat,Sell PRC Ad.,Net PRC Ad.,Sell PRC Ch.,Net PRC Ch.,Min. Markup,National Park,Short Description,WhatsApp Catalog Link,Video,Album,Note
3,يوم جميل على شاطئ بانانا جزيرة كورال,Banana Beach & Ombre,Raya & Coral,Moderate,Moderate,8+,Moderate,High,Conditional,2000-3500 THB,Island,1,Half Day,Flexible,Sea Trip,Premium,High,Moderate,Low,No View,Extra,<30,None,2200,1330,,,,,"💥 باقة A بريميوم
🌴 كوه هاي – بانانا بيتش
🚐 نقل جماعي من فندقك إلى نقطة الاستقبال في ميناء «كان إيانغ @ بيير» (رصيف تشالونغ).
🚤 قارب سريع إلى بانانا بيتش؛ الموج والمرح في الطريق!
🏖️ شاطئ أبيض ومياه تركواز: سباحة • استرخاء • سنوركل.
🤿 سنوركلينج مباشر وسط شعاب وأسماك ملوّنة.
🍽️ بوفيه غداء فاخر في «Hornbill» المطلّ على البحر (مياه + فواكه).
🌊 اختر نشاطين مجّانًا: Parasailing أو Banana Boat أو Clear Kayak أو Banana Swing، أو استرخِ على الرمال.
⛵ عودة مريحة للفندق وذكريات لا تُنسى.
⏰ 08:30-14:00 | 10:00-17:00
💰 الكبار 3500฿ | الأطفال 3000฿

————————————————————————————————————

💥 باقة B
🌴 بانانا بيتش – كوه هاي
🚐 نقل جماعي من فندقك إلى نقطة الاستقبال في ميناء «كان إيانغ @ بيير» (رصيف تشالونغ).
🚤 قارب سريع إلى الشاطئ.
🏖️ رمال ناعمة ومياه فيروزية + أنشطة بحرية.
🤿 سنوركلينج حر حول الجزيرة.
🍽️ بوفيه غداء بحري فاخر بإطلالة بانورامية.
🛶 كاياك شفاف يُظهِر الشعاب تحت قدميك.
⛵ عودة للفندق.
⏰ 08:30-14:00 | 10:00-17:00
💰 الكبار 2800฿ | الأطفال 2300฿

————————————————————————————————————

💥 باقة C
🌊 استرخاء كامل على بانانا بيتش
🚐 نقل جماعي من فندقك إلى نقطة الاستقبال في ميناء «كان إيانغ @ بيير» (رصيف تشالونغ).
🚤 قارب هادئ إلى الشاطئ.
🏖️ سباحة • حمّام شمس.
🍽️ غداء خفيف + فواكه طازجة ومشروب.
🧘‍♀️ وقت حر لليوغا أو القراءة على الشاطئ.
⛵ عودة للفندق.
⏰ 08:30-14:00 | 10:00-17:00
💰 الكبار 2200฿ | الأطفال 1700฿

————————————————————————————————————

⚠️ يُنصَح بالحجز المسبق، استخدام واقي الشمس، إحضار منشفة، وعدم اصطحاب الحيوانات الأليفة.
✅ يشمل السعر تأمين القارب، سترات نجاة، معدات سنوركل، دليل عربي/إنجليزي، ومياه باردة طوال الرحلة.
🚸 الأطفال دون 3 سنوات مجانًا، ودون 12 عامًا بسعر الطفل.
🎉 مناسب للأزواج والعائلات والمجموعات حتى 30 ضيفًا.
📸 لا تنسَ كاميرتك لصور إنستغرامية مذهلة!
☎️ احجز الآن أو اسألنا على واتساب. «يلا تايلاند» تتمنى لك رحلة سعيدة 🌞",https://wa.me/p/24126867496939589/66909277553,,3.Banana Beach,
4,جزر Raya & Coral بقارب Smile Rainbow المريح - جودة متوسطة,Smile Rainbow,Raya & Coral,High,High,8+,Moderate,High,Conditional,2000-3500 THB,Onbaord,3,Full Day,Morning,Sea Trip,Premium,Moderate,Moderate,Moderate,Panoramic,Extra,30-60,None,2600,1500,,,,,"*البرنامج :*

*10:00*: مغادرة الفندق

*11:00*: المغادرة من مرفأ تشالونج

*11:45*: جزيرة كورال - السباحة والاسترخاء على شاطئ. رملي أبيض، تليها وجبة الغداء.

*13:20*: الإبحار من جزيرة كورال إلى جزيرة راتشا.

*14:20*: جزيرة راتشا - السباحة والغطس في المياه الصافية.

*16:00*: الإبحار من جزيرة راتشا إلى منطقة Promthep الرائعة لمشاهدة غروب الشمس.

*17:00*: استمتع بالإبحار والصيد - واستكشاف منطقة کهف Promthep المشاهد من متن القارب.

*18:30*: الوصول إلى مرفأ تشالونج.
",https://wa.me/p/27252528271062193/66909277553,https://www.instagram.com/reel/C-sE09jymFN/?%20igsh=dmY3ZGtjN3hsMnA0,4.Belina,
5,شاطئ بنانا بيتش برنامج Captain Morgan المريح,Sun Wind Luxury,Raya & Coral,Moderate,High,3+,Moderate,High,Allowed,2000-3500 THB,Island,3,Full Day,Morning,Sea Trip,Premium,Moderate,High,High,Panoramic,Multiple,30-60,None,2900,1800,,,,,"🔺رحلة شاطئ بنانا بيتش - على متن يخت Captain Morgan الفاخر

استمتع برحلة بحرية فاخرة على متن اليخت الواسع والمريح Captain Morgan لاستكشاف شاطئ بنانا بيتش
✅ استمتع بالغداء على شاطئ بنانا بيتش

✅ السباحة والغوص وسط الحياة البحرية الملونة في راشا

✅ أوقات حرة للاسترخاء تحت أشعة الشمس الساحرة

✅ الجدول الزمني للرحلة:

10:00 صباحًا | الوصول ونقطة التجمع

✅ تسجيل الوصول في نقطة اللقاء والانطلاق إلى اليخت Captain Morgan.

10:30 صباحًا | المغادرة إلى شاطئ بنانا بيتش

✅ صعود القارب والإبحار نحو شاطئ بنانا بيتش.

11:15 صباحًا | الوصول إلى شاطئ بنانا بيتش

✅ استمتع بجولة غوص ممتعة في المياه الصافية، واكتشف عالم الشعاب المرجانية الملونة.

✅ أو يمكنك الاسترخاء على شاطئ Banana Beach الرائع، بين الرمال البيضاء والمياه الفيروزية النقية.

✅ يتم تقديم غداء شهي على الجزيرة، مع فرصة لتذوق الأطباق المحلية وسط أجواء استوائية.

13:15 | المغادرة من شاطئ بنانا بيتش إلى جزيرة راشا (رايا)

14:30 | الوصول إلى جزيرة راشا (رايا)

✅ جلسة غوص لمدة 45 دقيقة في المياه الغنية بالحياة البحرية الساحرة.

✅ بعد الغوص، نأخذ قاربًا محليًا طويل الذيل للوصول إلى شاطئ جزيرة راشا والاستمتاع بوقت حر.

16:00 | الإبحار إلى رأس برومثيب Promthep Cape

17:00 | رأس برومثيب Promthep Cape

✅ وقت للاسترخاء وتناول المشروبات أثناء مشاهدة غروب الشمس الساحر.

18:30 | العودة إلى رصيف شالونغ

✅ الوصول إلى الميناء، حيث ستكون حافلة مريحة في انتظارك لإعادتك إلى الفندق.

⚠️ الاطفال من سن 4 إلى 13 تكلفة 2600 بات",https://wa.me/p/9914055478606522/66909277553,https://www.instagram.com/reel/DIJ4KFvTZ7I/?igsh=MTJrOWo5em94b2QxdA==,5.Captin Morgan,
1,قارب خاص يوم كامل (اقتصادي),Raya Princess Tour,Raya & Coral,,,,,,,,,,,,,,,,,,,,None,19400,14000,,,,,"🌟 رحلة زيارة جزر Raya و Coral 

*10.00* الانطلاق من ميناء Chalong
*10.30* زيارة جزيرة رايا للسباحة و الاستمتاع بالشاطئ

*11.00* تناول وجبة الغداء على الجزيرة (غير داخل في الثمن)

*12.30* الانطلاق صوب جزيرة Coral للاستمتاع بالشاطئ و ممارسة الغوص

*14.30* مغادرة كورال و التوجه صوب جزيرة بوكيت

⚠️ يمكنك تعديل البرنامج وفقا لرغبتك

✅ السعر من فرد إلى 10 افراد يشمل:

🔻 المواصلات من الفندق
🔻 رسوم دخول المحميات 
🔻 مشروبات على القارب و الفاكهة
🔻 طاقم القارب

⚠️ يمكنك طلب إضافة مرشد سياحي ناطق الإنجليزية 1500 بات

⚠️ إلغاء القارب يحتاج ٤ ايام قبل تاريخ الرحلة",https://wa.me/p/8544809928971669/66909277553,,01.Raya Princess,
2,جزيرة Coral بقارب شراعي خاص - جودة متوسطة,Island Spirit,Raya & Coral,,,,,,,,,,,,,,,,,,,,None,22500,16500,,,,,"⚠️ نصف يوم لجزيرة Coral  
⚠️ السعر لعدد 8 افراد 

*14:00* المغادرة من رصيف تشالونغ 

*15:00* الوصول إلى جزيرة كورال والاستمتاع على الشاطئ 

*16:00* الغطس على القارب بالقرب من جزيرة كورال 

*17:00* المغادرة من جزيرة كورال 

*17:40* الوصول إلى كيب برومثيب (غروب الشمس، حفلة على اليخت) 

*18:40* المغادرة من كيب برومثيب 

*19:30* الوصول إلى رصيف تشالونغ 

⭕ السعر يشمل

🔺 فواكه و مشروبات
🔺 سيارة خاصة من مناطق  باتونج و كاليم
🔺 إيجار القارب الخشبي الناقل للجزيرة
🔺 رسوم دخول شاطئ Kahung Beach",https://wa.me/p/8514853018569003/66909277553,,02.Island Spirit,
3,قارب شراعي خاص - جزيرة كورال فترة الصباح,Royal Speedy,Raya & Coral,,,,,,,,,,,,,,,,,,,,None,26000,15000,,,,,"* ⭕ السعر / 15 فرد ل 4 ساعات
* 
* ✅ السعر لـ 1-15 شخص، نصف يوم (من الساعة 9:00، أقصى وقت للرجوع 13:00).
* 
* ✅ مشروبات غير كحولية، فواكه موسمية ووجبات خفيفة، معدات الغطس، سترات النجاة، منزلق قابل للنفخ، قوارب الكاياك، التأمين والوقود للوجهات المذكورة أعلاه.
* 
* ✅ مدة الإيجار 4 ساعات.
* 
* ✅ النقل من الفندق 
* 
* ✅ المناشف.
* 
* ⚠️ الالغاء أو التعديل أسبوع قبل ميعاد القارب 
* 
* ⚠️ تأكيد حجز القارب ب 50٪ من قيمة الايجار أسبوع قبل الرحلة
* 
* 
* ✅ يشمل:
* 
* 🔷الفريق المحترف:
* 
* كابتن وطاقم محترف
* 
* 
* ✅ المعدات:
* 
* 🔷قناع، أنبوب التنفس، وسترة نجاة
* 
* 🔷فم واحد للاستخدام الشخصي Mouth piece 
* 
* 🔷قارب مطاطي
* 
* 🔷لوح التجديف
* 
* 🔷أدوات صيد
* 
* 
* ✅ الوجبات والمشروبات:
* 
* 🔷مشروبات غازية، مياه شرب، ثلج، وفواكه موسمية على متن القارب
* 
* 
* ✅ المرافق:
* 
* 🔷حصيرة أو بساطة شاطئي
* 
* 🔷حقيبة إسعافات أولية
* 
* 
* ✅ التأمين:
* 
* تأمين الحوادث أثناء السفر
* 
* 
* ✅ سياسة الإلغاء:
* 
* 🔷استرداد كامل:
* سيتم رد كامل المبلغ إذا تم الإلغاء قبل 5 أيام على الأقل من تاريخ الرحلة.
* 
* 🔷استرداد 50%:
* سيتم رد 50% إذا تم الإلغاء في غضون 3 أيام قبل تاريخ الرحلة.
* 
* 🔷لا يوجد استرداد في حالة تأجيل الرحلة:
* إذا طلب العميل تأجيل الرحلة أقل من يومين قبل تاريخ الرحلة، يحق للشركة عدم رد المبلغ.
* 
* 🔷لا يوجد استرداد في يوم الرحلة:
* في حالة الإلغاء في يوم الرحلة، لا يتم رد المبلغ.
* 
* 🔷استثناء المرض:
* إذا كان العميل مريضاً وقدم شهادة طبية من المستشفى، سيتم رد 100% من المبلغ.
* 
* 🔷حجوزات موسم الذروة:
* في حالة الحجز خلال موسم الذروة، لا يتم رد المبلغ في حال حدوث أي إلغاء.
* 
* 🔷عدم الحضور:
* في حالة عدم حضور العميل، سيتم الاحتفاظ بـ 100% من رسوم الرحلة.
* 
* 
* ✅ سياسة الإلغاء بسبب الطقس السيء:
* 
* 🔷الطقس السيء (تحذير رسمي):
* في حالة إعلان دائرة الأرصاد الجوية عن طقس سيء، سيتم رد كامل المبلغ (100%) من الدفعة عن طريق نفس طريقة الدفع التي تم استلام المبلغ من خلالها.
* 
* 🔷المطر العام:
* في حالة هطول الأمطار العامة (دون الأمطار المتناثرة أو المتفرقة)، يمكن إعادة جدولة الرحلة أو تأجيلها حسب التوافر.",https://wa.me/p/24217456464510529/66909277553,,03. كورال فترة الصباح,
4,قارب شراعي خاص - جزيرة كورال مع غروب الشمس,Royal Speedy,Raya & Coral,,,,,,,,,,,,,,,,,,,,None,26000,15000,,,,,"* ⭕ السعر / 15 فرد ل 5 ساعات
* 
* ✅ السعر لـ 1-15 شخص، نصف يوم (من الساعة 14:00، أقصى وقت للرجوع 19:00).
* 
* ✅ مشروبات غير كحولية، فواكه موسمية ووجبات خفيفة، معدات الغطس، سترات النجاة، منزلق قابل للنفخ، قوارب الكاياك، التأمين والوقود للوجهات المذكورة أعلاه.
* 
* ✅ مدة الإيجار 5 ساعات.
* 
* ✅ النقل من الفندق 
* 
* ✅ المناشف.
* 
* ⚠️ الالغاء أو التعديل أسبوع قبل ميعاد القارب 
* 
* ⚠️ تأكيد حجز القارب ب 50٪ من قيمة الايجار أسبوع قبل الرحلة
* 
* 
* ✅ يشمل:
* 
* 🔷الفريق المحترف:
* 
* كابتن وطاقم محترف
* 
* 
* ✅ المعدات:
* 
* 🔷قناع، أنبوب التنفس، وسترة نجاة
* 
* 🔷فم واحد للاستخدام الشخصي Mouth piece 
* 
* 🔷قارب مطاطي
* 
* 🔷لوح التجديف
* 
* 🔷أدوات صيد
* 
* 
* ✅ الوجبات والمشروبات:
* 
* 🔷مشروبات غازية، مياه شرب، ثلج، وفواكه موسمية على متن القارب
* 
* 
* ✅ المرافق:
* 
* 🔷حصيرة أو بساطة شاطئي
* 
* 🔷حقيبة إسعافات أولية
* 
* 
* ✅ التأمين:
* 
* تأمين الحوادث أثناء السفر
* 
* 
* ✅ سياسة الإلغاء:
* 
* 🔷استرداد كامل:
* سيتم رد كامل المبلغ إذا تم الإلغاء قبل 5 أيام على الأقل من تاريخ الرحلة.
* 
* 🔷استرداد 50%:
* سيتم رد 50% إذا تم الإلغاء في غضون 3 أيام قبل تاريخ الرحلة.
* 
* 🔷لا يوجد استرداد في حالة تأجيل الرحلة:
* إذا طلب العميل تأجيل الرحلة أقل من يومين قبل تاريخ الرحلة، يحق للشركة عدم رد المبلغ.
* 
* 🔷لا يوجد استرداد في يوم الرحلة:
* في حالة الإلغاء في يوم الرحلة، لا يتم رد المبلغ.
* 
* 🔷استثناء المرض:
* إذا كان العميل مريضاً وقدم شهادة طبية من المستشفى، سيتم رد 100% من المبلغ.
* 
* 🔷حجوزات موسم الذروة:
* في حالة الحجز خلال موسم الذروة، لا يتم رد المبلغ في حال حدوث أي إلغاء.
* 
* 🔷عدم الحضور:
* في حالة عدم حضور العميل، سيتم الاحتفاظ بـ 100% من رسوم الرحلة.
* 
* 
* ✅ سياسة الإلغاء بسبب الطقس السيء:
* 
* 🔷الطقس السيء (تحذير رسمي):
* في حالة إعلان دائرة الأرصاد الجوية عن طقس سيء، سيتم رد كامل المبلغ (100%) من الدفعة عن طريق نفس طريقة الدفع التي تم استلام المبلغ من خلالها.
* 
* 🔷المطر العام:
* في حالة هطول الأمطار العامة (دون الأمطار المتناثرة أو المتفرقة)، يمكن إعادة جدولة الرحلة أو تأجيلها حسب التوافر.",https://wa.me/p/9081555791909473/66909277553,,04. كورال مع غروب الشمس,
5,قارب شراعي خاص - جزيرة مايتون وجزيرة كورال مع غروب الشمس,Royal Speedy,Raya & Coral,,,,,,,,,,,,,,,,,,,,None,29000,19500,,,,,"* ⭕ السعر / 15 فرد ل 8 ساعات
* 
* ✅ السعر لـ 1-15 شخص، (من الساعة 11:00، أقصى وقت للرجوع 19:00).
* 
* ✅ مشروبات غير كحولية، فواكه موسمية ووجبات خفيفة، معدات الغطس، سترات النجاة، منزلق قابل للنفخ، قوارب الكاياك، التأمين والوقود للوجهات المذكورة أعلاه.
* 
* ✅ مدة الإيجار 8 ساعات.
* 
* ✅ النقل من الفندق 
* 
* ✅ المناشف.
* 
* ⚠️ الالغاء أو التعديل أسبوع قبل ميعاد القارب 
* 
* ⚠️ تأكيد حجز القارب ب 50٪ من قيمة الايجار أسبوع قبل الرحلة
* 
* 
* ✅ يشمل:
* 
* 🔷الفريق المحترف:
* 
* كابتن وطاقم محترف
* 
* 
* ✅ المعدات:
* 
* 🔷قناع، أنبوب التنفس، وسترة نجاة
* 
* 🔷فم واحد للاستخدام الشخصي Mouth piece 
* 
* 🔷قارب مطاطي
* 
* 🔷لوح التجديف
* 
* 🔷أدوات صيد
* 
* 
* ✅ الوجبات والمشروبات:
* 
* 🔷مشروبات غازية، مياه شرب، ثلج، وفواكه موسمية على متن القارب
* 
* 
* ✅ المرافق:
* 
* 🔷حصيرة أو بساطة شاطئي
* 
* 🔷حقيبة إسعافات أولية
* 
* 
* ✅ التأمين:
* 
* تأمين الحوادث أثناء السفر
* 
* 
* ✅ سياسة الإلغاء:
* 
* 🔷استرداد كامل:
* سيتم رد كامل المبلغ إذا تم الإلغاء قبل 5 أيام على الأقل من تاريخ الرحلة.
* 
* 🔷استرداد 50%:
* سيتم رد 50% إذا تم الإلغاء في غضون 3 أيام قبل تاريخ الرحلة.
* 
* 🔷لا يوجد استرداد في حالة تأجيل الرحلة:
* إذا طلب العميل تأجيل الرحلة أقل من يومين قبل تاريخ الرحلة، يحق للشركة عدم رد المبلغ.
* 
* 🔷لا يوجد استرداد في يوم الرحلة:
* في حالة الإلغاء في يوم الرحلة، لا يتم رد المبلغ.
* 
* 🔷استثناء المرض:
* إذا كان العميل مريضاً وقدم شهادة طبية من المستشفى، سيتم رد 100% من المبلغ.
* 
* 🔷حجوزات موسم الذروة:
* في حالة الحجز خلال موسم الذروة، لا يتم رد المبلغ في حال حدوث أي إلغاء.
* 
* 🔷عدم الحضور:
* في حالة عدم حضور العميل، سيتم الاحتفاظ بـ 100% من رسوم الرحلة.
* 
* 
* ✅ سياسة الإلغاء بسبب الطقس السيء:
* 
* 🔷الطقس السيء (تحذير رسمي):
* في حالة إعلان دائرة الأرصاد الجوية عن طقس سيء، سيتم رد كامل المبلغ (100%) من الدفعة عن طريق نفس طريقة الدفع التي تم استلام المبلغ من خلالها.
* 
* 🔷المطر العام:
* في حالة هطول الأمطار العامة (دون الأمطار المتناثرة أو المتفرقة)، يمكن إعادة جدولة الرحلة أو تأجيلها حسب التوافر.",https://wa.me/p/9083776751699689/66909277553,,05. مايتون وجزيرة كورال,
6,قارب شراعي خاص - جزيرة رايا وجزيرة كورال,Royal Speedy,Raya & Coral,,,,,,,,,,,,,,,,,,,,None,29000,17000,,,,,"* ⭕ السعر / 15 فرد ل 8 ساعات
* 
* ✅ السعر لـ 1-15 شخص، (من الساعة 11:00، أقصى وقت للرجوع 19:00).
* 
* ✅ مشروبات غير كحولية، فواكه موسمية ووجبات خفيفة، معدات الغطس، سترات النجاة، منزلق قابل للنفخ، قوارب الكاياك، التأمين والوقود للوجهات المذكورة أعلاه.
* 
* ✅ مدة الإيجار 8 ساعات.
* 
* ✅ النقل من الفندق 
* 
* ✅ المناشف.
* 
* ⚠️ الالغاء أو التعديل أسبوع قبل ميعاد القارب 
* 
* ⚠️ تأكيد حجز القارب ب 50٪ من قيمة الايجار أسبوع قبل الرحلة
* 
* 
* ✅ يشمل:
* 
* 🔷الفريق المحترف:
* 
* كابتن وطاقم محترف
* 
* 
* ✅ المعدات:
* 
* 🔷قناع، أنبوب التنفس، وسترة نجاة
* 
* 🔷فم واحد للاستخدام الشخصي Mouth piece 
* 
* 🔷قارب مطاطي
* 
* 🔷لوح التجديف
* 
* 🔷أدوات صيد
* 
* 
* ✅ الوجبات والمشروبات:
* 
* 🔷مشروبات غازية، مياه شرب، ثلج، وفواكه موسمية على متن القارب
* 
* 
* ✅ المرافق:
* 
* 🔷حصيرة أو بساطة شاطئي
* 
* 🔷حقيبة إسعافات أولية
* 
* 
* ✅ التأمين:
* 
* تأمين الحوادث أثناء السفر
* 
* 
* ✅ سياسة الإلغاء:
* 
* 🔷استرداد كامل:
* سيتم رد كامل المبلغ إذا تم الإلغاء قبل 5 أيام على الأقل من تاريخ الرحلة.
* 
* 🔷استرداد 50%:
* سيتم رد 50% إذا تم الإلغاء في غضون 3 أيام قبل تاريخ الرحلة.
* 
* 🔷لا يوجد استرداد في حالة تأجيل الرحلة:
* إذا طلب العميل تأجيل الرحلة أقل من يومين قبل تاريخ الرحلة، يحق للشركة عدم رد المبلغ.
* 
* 🔷لا يوجد استرداد في يوم الرحلة:
* في حالة الإلغاء في يوم الرحلة، لا يتم رد المبلغ.
* 
* 🔷استثناء المرض:
* إذا كان العميل مريضاً وقدم شهادة طبية من المستشفى، سيتم رد 100% من المبلغ.
* 
* 🔷حجوزات موسم الذروة:
* في حالة الحجز خلال موسم الذروة، لا يتم رد المبلغ في حال حدوث أي إلغاء.
* 
* 🔷عدم الحضور:
* في حالة عدم حضور العميل، سيتم الاحتفاظ بـ 100% من رسوم الرحلة.
* 
* 
* ✅ سياسة الإلغاء بسبب الطقس السيء:
* 
* 🔷الطقس السيء (تحذير رسمي):
* في حالة إعلان دائرة الأرصاد الجوية عن طقس سيء، سيتم رد كامل المبلغ (100%) من الدفعة عن طريق نفس طريقة الدفع التي تم استلام المبلغ من خلالها.
* 
* 🔷المطر العام:
* في حالة هطول الأمطار العامة (دون الأمطار المتناثرة أو المتفرقة)، يمكن إعادة جدولة الرحلة أو تأجيلها حسب التوافر.",https://wa.me/p/8549469208491430/66909277553,,06. رايا وجزيرة كورال,
7,قارب شراعي خاص - جزيرة رايا مع غروب الشمس,Royal Speedy,Raya & Coral,,,,,,,,,,,,,,,,,,,,None,29000,18000,,,,,"* ⭕ السعر / 15 فرد ل 8 ساعات
* 
* ✅ السعر لـ 1-15 شخص، (من الساعة 11:00، أقصى وقت للرجوع 19:00).
* 
* ✅ مشروبات غير كحولية، فواكه موسمية ووجبات خفيفة، معدات الغطس، سترات النجاة، منزلق قابل للنفخ، قوارب الكاياك، التأمين والوقود للوجهات المذكورة أعلاه.
* 
* ✅ مدة الإيجار 8 ساعات.
* 
* ✅ النقل من الفندق 
* 
* ✅ المناشف.
* 
* ⚠️ الالغاء أو التعديل أسبوع قبل ميعاد القارب 
* 
* ⚠️ تأكيد حجز القارب ب 50٪ من قيمة الايجار أسبوع قبل الرحلة
* 
* 
* ✅ يشمل:
* 
* 🔷الفريق المحترف:
* 
* كابتن وطاقم محترف
* 
* 
* ✅ المعدات:
* 
* 🔷قناع، أنبوب التنفس، وسترة نجاة
* 
* 🔷فم واحد للاستخدام الشخصي Mouth piece 
* 
* 🔷قارب مطاطي
* 
* 🔷لوح التجديف
* 
* 🔷أدوات صيد
* 
* 
* ✅ الوجبات والمشروبات:
* 
* 🔷مشروبات غازية، مياه شرب، ثلج، وفواكه موسمية على متن القارب
* 
* 
* ✅ المرافق:
* 
* 🔷حصيرة أو بساطة شاطئي
* 
* 🔷حقيبة إسعافات أولية
* 
* 
* ✅ التأمين:
* 
* تأمين الحوادث أثناء السفر
* 
* 
* ✅ سياسة الإلغاء:
* 
* 🔷استرداد كامل:
* سيتم رد كامل المبلغ إذا تم الإلغاء قبل 5 أيام على الأقل من تاريخ الرحلة.
* 
* 🔷استرداد 50%:
* سيتم رد 50% إذا تم الإلغاء في غضون 3 أيام قبل تاريخ الرحلة.
* 
* 🔷لا يوجد استرداد في حالة تأجيل الرحلة:
* إذا طلب العميل تأجيل الرحلة أقل من يومين قبل تاريخ الرحلة، يحق للشركة عدم رد المبلغ.
* 
* 🔷لا يوجد استرداد في يوم الرحلة:
* في حالة الإلغاء في يوم الرحلة، لا يتم رد المبلغ.
* 
* 🔷استثناء المرض:
* إذا كان العميل مريضاً وقدم شهادة طبية من المستشفى، سيتم رد 100% من المبلغ.
* 
* 🔷حجوزات موسم الذروة:
* في حالة الحجز خلال موسم الذروة، لا يتم رد المبلغ في حال حدوث أي إلغاء.
* 
* 🔷عدم الحضور:
* في حالة عدم حضور العميل، سيتم الاحتفاظ بـ 100% من رسوم الرحلة.
* 
* 
* ✅ سياسة الإلغاء بسبب الطقس السيء:
* 
* 🔷الطقس السيء (تحذير رسمي):
* في حالة إعلان دائرة الأرصاد الجوية عن طقس سيء، سيتم رد كامل المبلغ (100%) من الدفعة عن طريق نفس طريقة الدفع التي تم استلام المبلغ من خلالها.
* 
* 🔷المطر العام:
* في حالة هطول الأمطار العامة (دون الأمطار المتناثرة أو المتفرقة)، يمكن إعادة جدولة الرحلة أو تأجيلها حسب التوافر.",https://wa.me/p/9250260291730484/66909277553,,07. رايا مع غروب الشمس,
8,قارب خاص لجزيرة بي بي - اقتصادي الجودة,Nine Ocean,Phi Phi,,,,,,,,,,,,,,,,,,,,None,29500,18000,,,,,"✅ السعر يشمل :

🔻 قارب سريع بمحركين
🔻 فاكهة و مشروبات 
🔻 سيارة خاصة تسع ل10 افراد 

✅ السعر لا يشمل :

🔻 يومية المرشد السياحي 1500 بات / اليوم 
🔻 وجبة غداء 250 بات / الفرد 
🔻 رسوم دخول المحميات 450 بات / الفرد 

✅ البرنامج :

*07:30 - 08:00*: الاستقبال من الفندق والنقل إلى رصيف AA. استمتع بالقهوة والشاي والبسكويت المجاني. تسجيل الوصول والحصول على معلومات الرحلة من المرشد.

*09:30 - 09:45*: الانطلاق بالقارب السريع إلى خليج مايا.

🔻 مشاهدة المعالم في خليج لو ساماه.

🔻 السباحة في بحيرة بيله (القفز من القارب).

🔻 مشاهدة المعالم في كهف الفايكنج.

🔻 الوصول إلى شاطئ القرود لالتقاط الصور مع القرود.

🔻 الغطس فوق الشعاب المرجانية الجميلة في جزيرة بي بي دون.

🔻 الغداء: استمتع بغداء رائع في جزيرة بي بي دون (غير شامل السعر). 

✅ بعد الظهر:

🔻 المغادرة من جزيرة بي بي دون إلى جزيرة كاي.

🔻 الاسترخاء على الشاطئ الرملي الأبيض، السباحة، والغطس في جزيرة كاي.

🔻 المغادرة من جزيرة كاي إلى بوكيت (رصيف AA).

*16:30*: الوصول إلى الرصيف والنقل إلى الفندق.

ملاحظة: الرحلة غير موصى بها للنساء الحوامل أو الأشخاص الذين خضعوا لعمليات جراحية. قد يختلف البرنامج حسب حالة الطقس والبحر.",https://wa.me/p/9454387421244352/66909277553,,08.HiSpeed,
